Credit URL Caption Type exptID 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Fields-Stackyard-750-(2).jpg" "Woburn-Fields-Stackyard-750-(2)" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Fields-Stackyard-750.jpg" "Woburn-Fields-Stackyard-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-LTEs-750.jpg" "Woburn-LTEs-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Market-Garden-1-675.jpg" "Woburn-Market-Garden-1-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Market-Garden-1-750.jpg" "Woburn-Market-Garden-1-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-Market-Garden-3-750.jpg" "Woburn-Market-Garden-3-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-continuous-maize-675.jpg" "Woburn-continuous-maize-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-ley-arable-675.jpg" "Woburn-ley-arable-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Woburn-organic-manuring-675.jpg" "Woburn-organic-manuring-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/Yield-and-pH-data-availability-LT-liming-expt.pdf" "Yield-and-pH-data-availability-LT-liming-expt.pdf" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/aerialhoosfield.jpg" "aerialhoosfield" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/amounts-of-straw-675.jpg" "amounts-of-straw-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/cs-427-i-750.jpg" "cs-427-i-750" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/cs-427-ii-675.jpg" "cs-427-ii-675" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ty-1921-Garden-Clover-100.jpg" "ty-1921-Garden-Clover-100" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ty-2810-Historic-Barnfield-yield-comparison-turnips-100.jpg" "ty-2810-Historic-Barnfield-yield-comparison-turnips-100" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ty-Barnfield-2015-100.jpg" "ty-Barnfield-2015-100" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ty-Barnfield-and-the-former-Agdell-at-bottom-2015-100.jpg" "ty-Barnfield-and-the-former-Agdell-at-bottom-2015-100" "Other" "others" 
"Rothamsted VCU" "http://www.era.rothamsted.ac.uk/images/metadata/others/ty-Classical-Experiments-aerial-layout-100.jpg" "ty-Classical-Experiments-aerial-layout-100" "Other" "others" 
